Size|Sorting Algorithm|File Name|File Input Type|Time Taken
13000|quick sort|ascorder.txt|asc|0.015625
13000|merge sort|ascorder.txt|asc|0.015625
13000|heap sort|ascorder.txt|asc|0.000000
13000|bubble sort|descorder.txt|desc|0.531250
13000|selection sort|descorder.txt|desc|0.328125
13000|insertion sort|descorder.txt|desc|0.312500
13000|quick sort|descorder.txt|desc|0.078125
13000|merge sort|descorder.txt|desc|0.000000
13000|heap sort|descorder.txt|desc|0.000000
13500|bubble sort|randomlist.txt|random|0.796875
13500|selection sort|randomlist.txt|random|0.343750
13500|insertion sort|randomlist.txt|random|0.203125
13500|quick sort|randomlist.txt|random|0.015625
13500|merge sort|randomlist.txt|random|0.000000
13500|heap sort|randomlist.txt|random|0.000000
13500|bubble sort|ascorder.txt|asc|0.312500
13500|selection sort|ascorder.txt|asc|0.312500
13500|insertion sort|ascorder.txt|asc|0.000000
13500|quick sort|ascorder.txt|asc|0.031250
13500|merge sort|ascorder.txt|asc|0.000000
13500|heap sort|ascorder.txt|asc|0.000000
13500|bubble sort|descorder.txt|desc|0.625000
13500|selection sort|descorder.txt|desc|0.390625
13500|insertion sort|descorder.txt|desc|0.328125
13500|quick sort|descorder.txt|desc|0.093750
13500|merge sort|descorder.txt|desc|0.000000
13500|heap sort|descorder.txt|desc|0.000000
14000|bubble sort|randomlist.txt|random|0.859375
14000|selection sort|randomlist.txt|random|0.343750
14000|insertion sort|randomlist.txt|random|0.187500
14000|quick sort|randomlist.txt|random|0.000000
14000|merge sort|randomlist.txt|random|0.015625
14000|heap sort|randomlist.txt|random|0.000000
14000|bubble sort|ascorder.txt|asc|0.406250
14000|selection sort|ascorder.txt|asc|0.343750
14000|insertion sort|ascorder.txt|asc|0.000000
14000|quick sort|ascorder.txt|asc|0.031250
14000|merge sort|ascorder.txt|asc|0.000000
14000|heap sort|ascorder.txt|asc|0.000000
14000|bubble sort|descorder.txt|desc|0.578125
14000|selection sort|descorder.txt|desc|0.453125
14000|insertion sort|descorder.txt|desc|0.406250
14000|quick sort|descorder.txt|desc|0.093750
14000|merge sort|descorder.txt|desc|0.000000
14000|heap sort|descorder.txt|desc|0.015625
14500|bubble sort|randomlist.txt|random|0.812500
14500|selection sort|randomlist.txt|random|0.437500
14500|insertion sort|randomlist.txt|random|0.187500
14500|quick sort|randomlist.txt|random|0.000000
14500|merge sort|randomlist.txt|random|0.015625
14500|heap sort|randomlist.txt|random|0.000000
14500|bubble sort|ascorder.txt|asc|0.359375
14500|selection sort|ascorder.txt|asc|0.343750
14500|insertion sort|ascorder.txt|asc|0.000000
14500|quick sort|ascorder.txt|asc|0.015625
14500|merge sort|ascorder.txt|asc|0.000000
14500|heap sort|ascorder.txt|asc|0.000000
14500|bubble sort|descorder.txt|desc|0.796875
14500|selection sort|descorder.txt|desc|0.390625
14500|insertion sort|descorder.txt|desc|0.562500
14500|quick sort|descorder.txt|desc|0.125000
14500|merge sort|descorder.txt|desc|0.015625
14500|heap sort|descorder.txt|desc|0.015625
15000|bubble sort|randomlist.txt|random|1.484375
15000|selection sort|randomlist.txt|random|0.453125
15000|insertion sort|randomlist.txt|random|0.281250
15000|quick sort|randomlist.txt|random|0.015625
15000|merge sort|randomlist.txt|random|0.015625
15000|heap sort|randomlist.txt|random|0.000000
15000|bubble sort|ascorder.txt|asc|0.562500
15000|selection sort|ascorder.txt|asc|0.453125
15000|insertion sort|ascorder.txt|asc|0.000000
15000|quick sort|ascorder.txt|asc|0.031250
15000|merge sort|ascorder.txt|asc|0.000000
15000|heap sort|ascorder.txt|asc|0.015625
15000|bubble sort|descorder.txt|desc|0.843750
15000|selection sort|descorder.txt|desc|0.453125
15000|insertion sort|descorder.txt|desc|0.406250
15000|quick sort|descorder.txt|desc|0.093750
15000|merge sort|descorder.txt|desc|0.000000
15000|heap sort|descorder.txt|desc|0.000000
15500|bubble sort|randomlist.txt|random|0.906250
15500|selection sort|randomlist.txt|random|0.406250
15500|insertion sort|randomlist.txt|random|0.218750
15500|quick sort|randomlist.txt|random|0.000000
15500|merge sort|randomlist.txt|random|0.015625
15500|heap sort|randomlist.txt|random|0.000000
15500|bubble sort|ascorder.txt|asc|0.453125
15500|selection sort|ascorder.txt|asc|0.406250
15500|insertion sort|ascorder.txt|asc|0.000000
15500|quick sort|ascorder.txt|asc|0.015625
15500|merge sort|ascorder.txt|asc|0.000000
15500|heap sort|ascorder.txt|asc|0.000000
15500|bubble sort|descorder.txt|desc|0.781250
15500|selection sort|descorder.txt|desc|0.437500
15500|insertion sort|descorder.txt|desc|0.421875
15500|quick sort|descorder.txt|desc|0.109375
15500|merge sort|descorder.txt|desc|0.000000
15500|heap sort|descorder.txt|desc|0.000000
16000|bubble sort|randomlist.txt|random|1.015625
16000|selection sort|randomlist.txt|random|0.421875
16000|insertion sort|randomlist.txt|random|0.234375
16000|quick sort|randomlist.txt|random|0.000000
16000|merge sort|randomlist.txt|random|0.000000
16000|heap sort|randomlist.txt|random|0.000000
16000|bubble sort|ascorder.txt|asc|0.468750
16000|selection sort|ascorder.txt|asc|0.421875
16000|insertion sort|ascorder.txt|asc|0.000000
16000|quick sort|ascorder.txt|asc|0.031250
16000|merge sort|ascorder.txt|asc|0.000000
16000|heap sort|ascorder.txt|asc|0.000000
16000|bubble sort|descorder.txt|desc|0.812500
16000|selection sort|descorder.txt|desc|0.468750
16000|insertion sort|descorder.txt|desc|0.437500
16000|quick sort|descorder.txt|desc|0.109375
16000|merge sort|descorder.txt|desc|0.015625
16000|heap sort|descorder.txt|desc|0.000000
16500|bubble sort|randomlist.txt|random|1.046875
16500|selection sort|randomlist.txt|random|0.468750
16500|insertion sort|randomlist.txt|random|0.234375
16500|quick sort|randomlist.txt|random|0.000000
16500|merge sort|randomlist.txt|random|0.000000
16500|heap sort|randomlist.txt|random|0.000000
16500|bubble sort|ascorder.txt|asc|0.531250
16500|selection sort|ascorder.txt|asc|0.468750
16500|insertion sort|ascorder.txt|asc|0.000000
16500|quick sort|ascorder.txt|asc|0.031250
16500|merge sort|ascorder.txt|asc|0.015625
16500|heap sort|ascorder.txt|asc|0.000000
16500|bubble sort|descorder.txt|desc|0.828125
16500|selection sort|descorder.txt|desc|0.484375
16500|insertion sort|descorder.txt|desc|0.484375
16500|quick sort|descorder.txt|desc|0.125000
16500|merge sort|descorder.txt|desc|0.000000
16500|heap sort|descorder.txt|desc|0.000000
17000|bubble sort|randomlist.txt|random|1.093750
17000|selection sort|randomlist.txt|random|0.500000
17000|insertion sort|randomlist.txt|random|0.281250
17000|quick sort|randomlist.txt|random|0.000000
17000|merge sort|randomlist.txt|random|0.000000
17000|heap sort|randomlist.txt|random|0.000000
17000|bubble sort|ascorder.txt|asc|0.515625
17000|selection sort|ascorder.txt|asc|0.500000
17000|insertion sort|ascorder.txt|asc|0.000000
17000|quick sort|ascorder.txt|asc|0.031250
17000|merge sort|ascorder.txt|asc|0.000000
17000|heap sort|ascorder.txt|asc|0.015625
17000|bubble sort|descorder.txt|desc|0.843750
17000|selection sort|descorder.txt|desc|0.546875
17000|insertion sort|descorder.txt|desc|0.546875
17000|quick sort|descorder.txt|desc|0.125000
17000|merge sort|descorder.txt|desc|0.000000
17000|heap sort|descorder.txt|desc|0.000000
17500|bubble sort|randomlist.txt|random|1.171875
17500|selection sort|randomlist.txt|random|0.515625
17500|insertion sort|randomlist.txt|random|0.296875
17500|quick sort|randomlist.txt|random|0.000000
17500|merge sort|randomlist.txt|random|0.015625
17500|heap sort|randomlist.txt|random|0.000000
17500|bubble sort|ascorder.txt|asc|0.531250
17500|selection sort|ascorder.txt|asc|0.500000
17500|insertion sort|ascorder.txt|asc|0.000000
17500|quick sort|ascorder.txt|asc|0.031250
17500|merge sort|ascorder.txt|asc|0.000000
17500|heap sort|ascorder.txt|asc|0.000000
17500|bubble sort|descorder.txt|desc|0.906250
17500|selection sort|descorder.txt|desc|0.625000
17500|insertion sort|descorder.txt|desc|0.562500
17500|quick sort|descorder.txt|desc|0.140625
17500|merge sort|descorder.txt|desc|0.000000
17500|heap sort|descorder.txt|desc|0.015625
18000|bubble sort|randomlist.txt|random|1.250000
18000|selection sort|randomlist.txt|random|0.546875
18000|insertion sort|randomlist.txt|random|0.281250
18000|quick sort|randomlist.txt|random|0.015625
18000|merge sort|randomlist.txt|random|0.000000
18000|heap sort|randomlist.txt|random|0.000000
18000|bubble sort|ascorder.txt|asc|0.562500
18000|selection sort|ascorder.txt|asc|0.546875
18000|insertion sort|ascorder.txt|asc|0.000000
18000|quick sort|ascorder.txt|asc|0.046875
18000|merge sort|ascorder.txt|asc|0.000000
18000|heap sort|ascorder.txt|asc|0.000000
18000|bubble sort|descorder.txt|desc|0.968750
18000|selection sort|descorder.txt|desc|0.593750
18000|insertion sort|descorder.txt|desc|0.578125
18000|quick sort|descorder.txt|desc|0.140625
18000|merge sort|descorder.txt|desc|0.000000
18000|heap sort|descorder.txt|desc|0.015625
18500|bubble sort|randomlist.txt|random|1.328125
18500|selection sort|randomlist.txt|random|0.562500
18500|insertion sort|randomlist.txt|random|0.296875
18500|quick sort|randomlist.txt|random|0.015625
18500|merge sort|randomlist.txt|random|0.000000
18500|heap sort|randomlist.txt|random|0.015625
18500|bubble sort|ascorder.txt|asc|0.609375
18500|selection sort|ascorder.txt|asc|0.578125
18500|insertion sort|ascorder.txt|asc|0.000000
18500|quick sort|ascorder.txt|asc|0.046875
18500|merge sort|ascorder.txt|asc|0.000000
18500|heap sort|ascorder.txt|asc|0.015625
18500|bubble sort|descorder.txt|desc|1.078125
18500|selection sort|descorder.txt|desc|0.640625
18500|insertion sort|descorder.txt|desc|0.640625
18500|quick sort|descorder.txt|desc|0.140625
